med dm twosigdown onesigdown exp onesigup twosigup
600 300 .3012000 .3975000 .5527000 .7753000 1.0476000 .5778000
600 400 6.8146000 9.0857000 12.6875000 17.8459000 24.2446000 16.0860000
800 300 .0459000 .0613000 .0857000 .1216000 .1655000 .0855000
800 400 .3097000 .4128000 .5684000 .7972000 1.0700000 .5700000
800 500 1.8437000 2.4476000 3.3594000 4.6583000 6.2429000 3.5119000
800 600 12.3629000 16.4766000 22.6875000 31.6404000 42.5825000 27.9101000
1000 300 .0314000 .0424000 .0603000 .0870000 .1212000 .0657000
1000 400 .0924000 .1252000 .1772000 .2543000 .3555000 .1845000
1000 500 .2595000 .3487000 .4902000 .6993000 .9621000 .5034000
1000 600 .9391000 1.2528000 1.7422000 2.4714000 3.3656000 1.8013000
1000 700 5.1440000 6.8423000 9.4062000 13.1181000 17.5337000 10.4112000
1000 800 16.0627000 21.5009000 30.1250000 42.4932000 57.6490000 35.5936000
1400 300 .0416000 .0570000 .0823000 .1213000 .1742000 .1164000
1400 400 .0928000 .1263000 .1821000 .2685000 .3855000 .2578000
1400 500 .1439000 .1958000 .2822000 .4161000 .5940000 .3984000
1400 600 .2220000 .3029000 .4355000 .6387000 .9092000 .6103000
1400 700 .4120000 .5578000 .7930000 1.1565000 1.6221000 1.0796000
1400 800 .8087000 1.0928000 1.5508000 2.2246000 3.0906000 1.9234000
1700 300 .0796000 .1088000 .1567000 .2323000 .3363000 .2222000
1700 400 .1615000 .2207000 .3193000 .4734000 .6814000 .4514000
1700 500 .2180000 .2975000 .4277000 .6340000 .9127000 .6072000
1700 600 .2796000 .3831000 .5527000 .8193000 1.1727000 .7824000
1700 700 .3567000 .4860000 .7051000 1.0395000 1.4925000 .9959000
1700 800 .4939000 .6716000 .9727000 1.4340000 2.0590000 1.3774000
2000 300 .1566000 .2134000 .3096000 .4589000 .6643000 .4362000
2000 400 .3102000 .4239000 .6133000 .9091000 1.3160000 .8657000
2000 400 .3102000 .4239000 .6133000 .9091000 1.3160000 .8657000
2000 500 .3883000 .5305000 .7676000 1.1378000 1.6472000 1.0845000
2000 600 .4683000 .6381000 .9258000 1.3723000 1.9866000 1.3078000
2000 700 .5513000 .7512000 1.0898000 1.6155000 2.3254000 1.5385000
2000 800 .6679000 .9151000 1.3203000 1.9571000 2.8172000 1.8677000
2500 300 .4525000 .6200000 .8945000 1.3331000 1.9237000 1.2645000
2500 400 .8655000 1.1825000 1.7109000 2.5498000 3.6793000 2.4128000
2500 500 1.0473000 1.4349000 2.0703000 3.0854000 4.4773000 2.9300000
2500 600 1.1975000 1.6407000 2.3672000 3.5278000 5.1193000 3.3486000
2500 700 1.3397000 1.8254000 2.6484000 3.9258000 5.6833000 3.7379000
2500 800 1.5215000 2.0847000 3.0078000 4.4825000 6.4683000 4.2528000
2750 300 .7489000 1.0204000 1.4805000 2.2063000 3.1837000 2.0908000
2750 500 1.7468000 2.3933000 3.4531000 5.1461000 7.4677000 4.8838000
2750 800 2.3475000 3.2164000 4.6406000 6.9158000 10.0358000 6.5680000
3000 300 1.2409000 1.6908000 2.4531000 3.6363000 5.2941000 3.4626000
3000 500 2.8376000 3.8662000 5.6094000 8.3148000 12.0372000 7.9086000
3000 800 3.7702000 5.1369000 7.4531000 11.0479000 15.9937000 10.5040000
3500 300 3.3671000 4.5877000 6.6562000 9.8666000 14.2837000 9.3708000
3500 500 7.6195000 10.3816000 15.0625000 22.3273000 32.5062000 21.2443000
3500 800 9.4532000 12.9522000 18.6875000 27.8497000 40.3004000 26.3985000
4000 300 8.9474000 12.1908000 17.6875000 26.2184000 37.9558000 24.9029000
4000 500 20.0447000 27.3108000 39.6250000 58.7366000 85.0317000 55.7794000
4000 800 23.9335000 32.6093000 47.3125000 70.5090000 101.7449000 66.7954000
