nuisance_name,fit_data_onlysource,fit_data_fixed,fit_asimov_onlysource,fit_asimov_fixed
double_mistag,0.832031,0.855469,0.744141,0.763672
xsecMC,0.824219,0.863281,0.740234,0.771484
trigger,0.824219,0.863281,0.740234,0.771484
lepton,0.824219,0.863281,0.740234,0.771484
ak4btag,0.824219,0.863281,0.740234,0.771484
metscale,0.832031,0.863281,0.744141,0.767578
ca15scale,0.832031,0.863281,0.744141,0.771484
luminosity,0.824219,0.863281,0.740234,0.771484
vjetshf,0.824219,0.863281,0.740234,0.771484
higgstag,0.839844,0.847656,0.755859,0.759766
stat,0.832031,0.855469,0.744141,0.767578
all,0.863281,0.816406,0.771484,0.736328
