med dm twosigdown onesigdown exp onesigup twosigup observed
600 300 .2335240 .3101400 .4316410 .6054150 .8125850 1.1886510
600 400 5.4748540 7.2852370 10.1562500 14.2450580 19.2496410 24.0503500
800 300 .0391830 .0524490 .0734860 .1033640 .1404250 .1115420
800 400 .2187310 .2926670 .4042970 .5702860 .7685370 .7232660
800 500 1.4159390 1.8945620 2.6171880 3.6604100 4.9196110 6.6022340
800 600 9.2315670 12.3704320 17.1875000 24.1070210 32.3563350 39.1408590
1000 300 .0268080 .0361730 .0510250 .0727880 .1001380 .0744170
1000 400 .0881300 .1184390 .1665040 .2361920 .3237700 .2757280
1000 500 .2305340 .3098160 .4355470 .6143660 .8334890 .7084350
1000 600 .7825850 1.0434060 1.4570310 2.0436180 2.7615830 2.5130630
1000 700 3.7765500 5.0352040 7.0312500 9.8059090 13.1970500 15.8381590
1000 800 13.2116700 17.6495900 24.6875000 34.6264500 46.7914350 51.1780650
1200 300 .0281790 .0381310 .0544430 .0785320 .1094660 .0593290
1200 400 .0735880 .0991740 .1411130 .2035490 .2819650 .1577900
1200 500 .1359650 .1834640 .2587890 .3712270 .5125050 .3180430
1200 600 .2678260 .3613890 .5097660 .7271840 1.0004250 .7530150
1200 700 .6477580 .8670610 1.2148440 1.7232980 2.3622890 1.9937020
1200 800 2.1078190 2.8214330 3.9531250 5.5761290 7.5649380 6.8013790
1400 300 .0369950 .0502670 .0720210 .1044620 .1469690 .0811070
1400 400 .0871900 .1179820 .1684570 .2443340 .3416640 .1893400
1400 500 .1359650 .1839840 .2626950 .3789250 .5314640 .2925100
1400 600 .2021790 .2735820 .3906250 .5634570 .7854040 .4337380
1400 700 .3401870 .4609040 .6523440 .9357730 1.3000850 .7507860
1400 800 .6793140 .9166260 1.2929690 1.8444280 2.5374770 1.7166170
1700 300 .0669720 .0911120 .1293950 .1866450 .2617810 .1455950
1700 400 .1279470 .1753040 .2529300 .3708880 .5280040 .2880030
1700 500 .1689490 .2314820 .3339840 .4924060 .7029090 .3802670
1700 600 .2180440 .2974970 .4277340 .6306250 .9002170 .4881580
1700 700 .2978360 .4055200 .5820310 .8488310 1.2050150 .6614600
1700 800 .4549030 .6155600 .8789060 1.2747860 1.7935150 .9983250
2000 300 .1280270 .1609810 .2177730 .3089190 .4317450 .2288720
2000 400 .2589150 .3266410 .4433590 .6253860 .8766740 .4658840
2000 400 .2589150 .3266410 .4433590 .6253860 .8766740 .4658840
2000 500 .3364910 .4259330 .5800780 .8182360 1.1470140 .6168650
2000 600 .4220010 .5359840 .7324220 1.0331270 1.4389210 .7882890
2000 700 .5172960 .6676880 .9101560 1.2838320 1.7880990 .9960180
2000 800 .6107560 .8111340 1.1289060 1.6103920 2.2582150 1.2584670
2500 300 .1550500 .2175970 .3349610 .5352360 .8259900 .3268420
2500 400 .3082920 .4326570 .6660160 1.0642310 1.6273320 .6539010
2500 500 .3923720 .5542110 .8476560 1.3375810 2.0447790 .8413480
2500 600 .4795610 .6742810 1.0273440 1.6129340 2.4274940 1.0318290
2500 700 .5821380 .8187630 1.2265620 1.8865950 2.8297960 1.2410630
2500 800 .7606890 1.0451900 1.5273440 2.3127030 3.3965910 1.5621190
2750 300 .1930580 .2814350 .4472660 .7360820 1.1796980 .4144110
2750 500 .4853210 .6954870 1.0898440 1.7935980 2.8270340 1.0245810
2750 800 .7847440 1.1084230 1.6953120 2.7359810 4.2668910 1.6381780
3000 300 .2458110 .3754860 .6230470 1.0651080 1.7455460 .5658120
3000 500 .5927660 .9013810 1.4804690 2.5072800 4.0811510 1.3492500
3000 800 .9105680 1.3409210 2.1484380 3.5700220 5.7691700 1.9849400
3500 300 .5221370 .8221750 1.4257810 2.5283270 4.2649960 1.2742770
3500 500 1.1844640 1.8650980 3.2343750 5.7354920 9.6751150 2.8896360
3500 800 1.5325160 2.3984900 4.1406250 7.2765200 12.2173590 3.6998060
4000 300 1.3154600 2.0874880 3.6406250 6.5719860 11.0354630 3.2389320
4000 500 2.9210820 4.6281930 8.0625000 14.5542690 24.4390530 7.1942180
4000 800 3.4985050 5.5430680 9.6562500 17.4312760 29.2700270 8.5989810
