med dm twosigdown onesigdown exp onesigup twosigup
600 300 .3012000 .3975000 .5527000 .7753000 1.0441000 .5775000
600 400 6.8146000 9.0857000 12.6875000 17.8965000 24.2796000 16.1220000
800 300 .0459000 .0613000 .0857000 .1216000 .1655000 .0855000
800 400 .3097000 .4107000 .5684000 .7972000 1.0700000 .5693000
800 500 1.8437000 2.4476000 3.3594000 4.6583000 6.2429000 3.5068000
800 600 12.3629000 16.4766000 22.6875000 31.6404000 42.5825000 27.9706000
1000 300 .0314000 .0424000 .0603000 .0870000 .1212000 .0657000
1000 400 .0924000 .1252000 .1772000 .2543000 .3555000 .1847000
1000 500 .2595000 .3487000 .4902000 .6993000 .9621000 .5041000
1000 600 .9391000 1.2528000 1.7422000 2.4714000 3.3656000 1.8005000
1000 700 5.1440000 6.8423000 9.4062000 13.1181000 17.5337000 10.3954000
1000 800 16.0627000 21.5009000 30.1250000 42.4932000 57.6490000 35.5091000
1400 300 .0416000 .0570000 .0823000 .1213000 .1742000 .1165000
1400 400 .0928000 .1263000 .1821000 .2685000 .3855000 .2578000
1400 500 .1439000 .1958000 .2822000 .4161000 .5940000 .3985000
1400 600 .2220000 .3029000 .4355000 .6387000 .9092000 .6104000
1400 700 .4135000 .5573000 .7930000 1.1565000 1.6221000 1.0798000
1400 800 .8117000 1.0918000 1.5508000 2.2246000 3.0906000 1.9271000
1700 300 .0796000 .1088000 .1567000 .2323000 .3363000 .2223000
1700 400 .1615000 .2207000 .3193000 .4734000 .6814000 .4515000
1700 500 .2180000 .2975000 .4277000 .6340000 .9127000 .6072000
1700 600 .2796000 .3831000 .5527000 .8193000 1.1727000 .7826000
1700 700 .3567000 .4860000 .7051000 1.0395000 1.4925000 .9962000
1700 800 .4939000 .6735000 .9727000 1.4340000 2.0590000 1.3777000
2000 300 .1566000 .2140000 .3096000 .4589000 .6643000 .4362000
2000 400 .3112000 .4240000 .6152000 .9120000 1.3202000 .8660000
2000 400 .3112000 .4240000 .6152000 .9120000 1.3202000 .8660000
2000 500 .3883000 .5305000 .7676000 1.1378000 1.6472000 1.0828000
2000 600 .4683000 .6381000 .9258000 1.3723000 1.9866000 1.3080000
2000 700 .5513000 .7512000 1.0898000 1.6155000 2.3254000 1.5383000
2000 800 .6699000 .9127000 1.3242000 1.9523000 2.8194000 1.8643000
2500 300 .4525000 .6200000 .8945000 1.3331000 1.9237000 1.2647000
2500 400 .8655000 1.1825000 1.7109000 2.5498000 3.6793000 2.4173000
2500 500 1.0473000 1.4349000 2.0703000 3.0854000 4.4773000 2.9304000
2500 600 1.1975000 1.6407000 2.3672000 3.5278000 5.1193000 3.3488000
2500 700 1.3397000 1.8254000 2.6484000 3.9258000 5.6833000 3.7388000
2500 800 1.5215000 2.0847000 3.0078000 4.4825000 6.4683000 4.2536000
2750 300 .7489000 1.0204000 1.4805000 2.2063000 3.1837000 2.0911000
2750 500 1.7468000 2.3933000 3.4531000 5.1461000 7.4677000 4.8845000
2750 800 2.3475000 3.2164000 4.6406000 6.9158000 10.0358000 6.5684000
3000 300 1.2409000 1.6908000 2.4531000 3.6461000 5.2698000 3.4628000
3000 500 2.8376000 3.8662000 5.6094000 8.3148000 12.0372000 7.9095000
3000 800 3.7702000 5.1369000 7.4531000 11.0479000 15.9937000 10.5054000
3500 300 3.3671000 4.5877000 6.6562000 9.8666000 14.2837000 9.3719000
3500 500 7.6195000 10.3816000 15.0625000 22.3273000 32.5062000 21.2465000
3500 800 9.4532000 12.9522000 18.6875000 27.8497000 40.3004000 26.4019000
4000 300 8.9474000 12.1908000 17.6875000 26.2184000 37.9558000 24.9043000
4000 500 20.0447000 27.3108000 39.6250000 58.7366000 85.0317000 55.7861000
4000 800 23.9335000 32.7006000 47.3125000 70.5090000 101.7449000 66.8042000
