med dm twosigdown onesigdown exp onesigup twosigup observed
600 300 .3001000 .3995000 .5547000 .7780000 1.0513000 .5784000
600 400 6.8146000 9.0857000 12.6875000 17.8965000 24.4412000 16.1650000
800 300 .0459000 .0613000 .0857000 .1216000 .1666000 .0857000
800 400 .3096000 .4112000 .5723000 .7981000 1.0815000 .5705000
800 500 1.8437000 2.4476000 3.3594000 4.6850000 6.3053000 3.5145000
800 600 12.3419000 16.3911000 22.8125000 31.8147000 42.8171000 28.0457000
1000 300 .0314000 .0424000 .0603000 .0870000 .1212000 .0658000
1000 400 .0924000 .1252000 .1772000 .2557000 .3564000 .1846000
1000 500 .2595000 .3487000 .4902000 .6993000 .9621000 .5050000
1000 600 .9373000 1.2546000 1.7578000 2.4795000 3.3862000 1.8044000
1000 700 5.1427000 6.8539000 9.4375000 13.1617000 17.7134000 10.4207000
1000 800 16.1216000 21.5370000 30.1250000 42.4932000 58.0327000 35.5984000
1400 300 .0416000 .0570000 .0823000 .1213000 .1742000 .1167000
1400 400 .0928000 .1263000 .1821000 .2685000 .3855000 .2583000
1400 500 .1439000 .1958000 .2822000 .4161000 .5940000 .3993000
1400 600 .2220000 .3029000 .4355000 .6387000 .9092000 .6117000
1400 700 .4135000 .5573000 .7930000 1.1565000 1.6319000 1.0823000
1400 800 .8117000 1.0918000 1.5508000 2.2246000 3.1101000 1.9312000
1700 300 .0793000 .1086000 .1567000 .2311000 .3318000 .2221000
1700 400 .1618000 .2207000 .3174000 .4705000 .6733000 .4513000
1700 500 .2180000 .2967000 .4277000 .6340000 .9075000 .6073000
1700 600 .2796000 .3831000 .5527000 .8149000 1.1701000 .7831000
1700 700 .3574000 .4877000 .7012000 1.0394000 1.4876000 .9974000
1700 800 .4939000 .6716000 .9727000 1.4340000 2.0590000 1.3800000
2000 300 .1568000 .2128000 .3076000 .4560000 .6526000 .4353000
2000 400 .3092000 .4225000 .6113000 .9013000 1.2941000 .8643000
2000 400 .3092000 .4225000 .6113000 .9013000 1.2941000 .8643000
2000 500 .3878000 .5288000 .7637000 1.1259000 1.6166000 1.0808000
2000 600 .4679000 .6385000 .9180000 1.3607000 1.9475000 1.3060000
2000 700 .5516000 .7484000 1.0820000 1.6039000 2.2956000 1.5338000
2000 800 .6659000 .9124000 1.3164000 1.9408000 2.7866000 1.8660000
2500 300 .4520000 .6167000 .8867000 1.3144000 1.8920000 1.2614000
2500 400 .8642000 1.1791000 1.6953000 2.5130000 3.6070000 2.4110000
2500 500 1.0474000 1.4291000 2.0547000 3.0457000 4.3842000 2.9229000
2500 600 1.1987000 1.6356000 2.3516000 3.4857000 4.9890000 3.3405000
2500 700 1.3318000 1.8248000 2.6328000 3.8817000 5.5733000 3.7296000
2500 800 1.5195000 2.0775000 2.9922000 4.4115000 6.3340000 4.2437000
2750 300 .7450000 1.0207000 1.4727000 2.1712000 3.1174000 2.0855000
2750 500 1.7468000 2.3800000 3.4531000 5.0911000 7.3098000 4.8720000
2750 800 2.3486000 3.2023000 4.6250000 6.8188000 9.7905000 6.5512000
3000 300 1.2386000 1.6899000 2.4297000 3.6016000 5.1547000 3.4536000
3000 500 2.8217000 3.8554000 5.5781000 8.2240000 11.8081000 7.8869000
3000 800 3.7465000 5.1332000 7.4062000 10.9193000 15.6780000 10.4741000
3500 300 3.3484000 4.5781000 6.5938000 9.7214000 13.9580000 9.3447000
3500 500 7.5934000 10.3820000 14.9531000 22.0460000 31.6536000 21.1861000
3500 800 9.4625000 12.8395000 18.5625000 27.5154000 39.3814000 26.3298000
4000 300 8.8842000 12.1385000 17.5625000 25.8931000 37.1773000 24.8359000
4000 500 19.8866000 27.2472000 39.3125000 57.9600000 83.2189000 55.6281000
4000 800 23.8386000 32.5710000 47.1250000 69.4782000 99.7568000 66.5844000
