sinp tanb dm mh3 mh4 mh2 mhc twosigdown onesigdown exp onesigup twosigup observed
0.35 1 10 1000 150 1000 1000 .4848580 .6542380 .9228520 1.3238110 1.8391930 1.1421640
0.35 1 10 1000 250 1000 1000 .6018390 .8099620 1.1455080 1.6432060 2.2973100 1.3446250
0.35 1 10 1000 350 1000 1000 .8741000 1.1756420 1.6699220 2.3954670 3.3280630 1.8448070
0.35 1 10 1000 400 1000 1000 1.2159920 1.6407870 2.3144530 3.3200340 4.6125780 2.4987650
0.35 1 10 1000 500 1000 1000 2.8243100 3.7804980 5.2968750 7.5138000 10.2998840 5.5526380
0.35 1 10 1100 250 1100 1100 .7726940 1.0426270 1.4707030 2.1214170 2.9570440 1.9579400
0.35 1 10 1100 350 1100 1100 1.0620690 1.4293450 2.0214840 2.8997760 4.0287080 2.5603260
0.35 1 10 1100 500 1100 1100 .2224190 .2985490 .4233400 .6072720 .8436930 .4721760
0.35 1 10 1200 150 1200 1200 .7975960 1.0837230 1.5527340 2.2645000 3.1955250 2.1958620
0.35 1 10 1200 250 1200 1200 .9492300 1.2844690 1.8339840 2.6746740 3.7743370 2.5830810
0.35 1 10 1200 350 1200 1200 1.2434010 1.6825310 2.4023440 3.4652630 4.8902310 3.3185830
0.35 1 10 1200 500 1200 1200 2.4997100 3.3553190 4.7578120 6.8249810 9.4820590 6.0810060
0.35 1 10 1300 150 1300 1300 1.0684780 1.4517790 2.0800780 3.0501580 4.3422700 2.9772350
0.35 1 10 1300 250 1300 1300 1.1888690 1.6109630 2.3144530 3.3938380 4.8030700 3.3086700
0.35 1 10 1300 350 1300 1300 1.4988780 2.0365810 2.9179690 4.2555510 6.0412500 4.1556710
0.35 1 10 1300 500 1300 1300 2.6081090 3.5292120 5.0390620 7.3087710 10.2828210 7.0293910
0.35 1 10 1400 150 1400 1400 1.4815060 2.0213510 2.9062500 4.2616290 6.0669460 4.1767680
0.35 1 10 1400 250 1400 1400 1.6072310 2.1838030 3.1289060 4.6130690 6.5851480 4.5126540
0.35 1 10 1400 350 1400 1400 1.9202500 2.6091130 3.7382810 5.5114940 7.8218980 5.3979880
0.35 1 10 1400 450 1400 1400 2.6125030 3.5497030 5.0859380 7.4578510 10.6171550 7.3144440
0.35 1 10 1500 150 1500 1500 2.0012280 2.7154180 3.9257810 5.7566360 8.2435600 5.6651380
0.35 1 10 1500 250 1500 1500 2.2401810 3.0396470 4.3945310 6.4439950 9.2278650 6.3367960
0.35 1 10 1500 400 1500 1500 2.9032750 3.9393820 5.6953120 8.3514180 11.9593130 8.2040590
0.35 1 10 1600 150 1600 1600 2.8315890 3.8633880 5.5546880 8.1894930 11.7584680 8.0614370
0.35 1 10 1600 250 1600 1600 3.1422270 4.2636110 6.1640620 9.0879180 12.9729880 8.9154600
0.35 1 10 1600 350 1600 1600 3.4026950 4.6491450 6.7265620 9.8636090 14.1247850 9.6796690
0.35 1 10 200 100 200 200 10.4448850 13.8660140 19.0312500 26.3896100 35.3667980 18.6673960
0.35 1 10 200 150 200 200 9.2028810 12.1814920 16.8281250 23.3346560 31.2726120 16.3348980
0.35 1 10 300 100 300 300 24.1827390 31.7929610 44.0625000 61.0990940 81.3142700 42.8313640
0.35 1 10 300 150 300 300 46.2843020 61.0812300 84.9375000 118.4553830 159.4203640 82.2734130
0.35 1 10 400 100 400 400 6.1048280 8.1361810 11.2031250 15.7133950 21.2338350 10.9048440
0.35 1 10 400 150 400 400 31.9537350 42.5430980 59.0625000 82.3696370 110.8552250 57.1433680
0.35 1 10 400 250 400 400 190.3747560 252.7303160 346.8750000 480.9928890 644.6165160 337.5150610
0.35 1 10 500 150 500 500 .6417730 .8553200 1.1777340 1.6565730 2.2355010 1.1470240
0.35 1 10 500 200 500 500 2.7203520 3.6255360 4.9921880 7.0019940 9.4619390 4.8946830
0.35 1 10 500 250 500 500 18.7157590 25.0421470 34.5937500 48.2450750 64.9294890 33.3137760
0.35 1 10 500 300 500 500 97.9326780 129.2414090 179.7187500 250.6390530 337.3166200 177.8846850
0.35 1 10 600 200 600 600 .5651440 .7495050 1.0371090 1.4463720 1.9465650 1.0006690
0.35 1 10 600 250 600 600 .9922140 1.3210310 1.8339840 2.5577080 3.4422310 1.7756100
0.35 1 10 600 300 600 600 3.3977970 4.4926460 6.2578120 8.7771470 11.7806470 6.0509750
0.35 1 10 600 350 600 600 22.3758540 29.5293350 41.0625000 57.2665100 77.0707700 39.6856560
0.35 1 10 700 250 700 700 .7285540 .9633110 1.3417970 1.8712940 2.5184370 1.3139420
0.35 1 10 700 300 700 700 1.2228810 1.6297890 2.2441410 3.1118290 4.1704070 2.1739910
0.35 1 10 700 350 700 700 2.4904630 3.3191530 4.5703120 6.3738410 8.5193030 4.4282950
0.35 1 10 700 400 700 700 7.4330750 9.8094020 13.6406250 18.9147210 25.5253930 13.2909550
0.35 1 10 800 250 800 800 .5397320 .7196150 1.0048830 1.4174500 1.9358030 1.0238730
0.35 1 10 800 300 800 800 .7773400 1.0364130 1.4472660 2.0414590 2.7880080 1.4593630
0.35 1 10 800 350 800 800 1.3329160 1.7736750 2.4726560 3.4681240 4.7181940 2.4540090
0.35 1 10 800 400 800 800 2.7615050 3.6513270 5.0859380 7.0726690 9.5315330 4.9851210
0.35 1 10 800 500 800 800 15.4872440 20.5599540 28.2187500 39.3543850 52.6012380 27.5560660
0.35 1 10 900 300 900 900 .6357770 .8500080 1.2011720 1.7134800 2.3724730 1.2605600
0.35 1 10 900 350 900 900 .9335060 1.2545470 1.7636720 2.5018290 3.4518500 1.8360560
0.35 1 10 900 400 900 900 1.5364840 2.0526030 2.8710940 4.0727450 5.5465120 2.9538440
0.35 1 10 900 500 900 900 5.5031430 7.3633410 10.1718750 14.2669730 19.2792570 10.2320520
