sinp tanb dm mh3 mh4 mh2 mhc twosigdown onesigdown exp onesigup twosigup
0.35 0.5 10 600 100 600 600 .3208870 .4234730 .5888670 .8142030 1.0926460 .5672430
0.35 0.5 10 600 150 600 600 .3783590 .4993190 .6943360 .9627980 1.2903220 .6681060
0.35 0.5 10 600 200 600 600 .6849630 .9093170 1.2480470 1.7405490 2.3424770 1.2090400
0.35 0.5 10 600 250 600 600 1.2916720 1.7078790 2.3789060 3.2987010 4.4515930 2.3464510
0.35 0.5 10 600 300 600 600 4.1252290 5.4440500 7.5703120 10.5576960 14.2088250 7.3189050
0.35 0.5 10 600 350 600 600 24.5429080 32.2664720 44.7187500 62.0090830 83.1032640 46.2757750
0.35 0.5 10 600 400 600 600 103.1110840 136.8842010 187.8750000 260.5161440 346.7102360 183.0434440
0.35 0.5 10 600 500 600 600 178.2128910 237.0470120 325.8750000 454.4712220 607.4481810 317.6044000
0.35 0.8 10 600 100 600 600 .2835850 .3772050 .5185550 .7190520 .9636580 .5009960
0.35 0.8 10 600 150 600 600 .4053500 .5391690 .7412110 1.0277970 1.3774320 .7194680
0.35 0.8 10 600 200 600 600 .5124610 .6796360 .9404300 1.3115400 1.7651050 .9128790
0.35 0.8 10 600 250 600 600 1.0632360 1.4170230 1.9511720 2.7366950 3.6731790 1.8915600
0.35 0.8 10 600 300 600 600 3.4355620 4.5563140 6.3046880 8.8428940 11.9495850 6.1180670
0.35 0.8 10 600 350 600 600 17.4598390 23.2006240 32.1562500 45.1020470 60.5357630 31.1125690
0.35 0.8 10 600 400 600 600 69.3242800 91.4870070 127.2187500 177.4215850 238.7786250 122.7803330
0.35 0.8 10 600 500 600 600 245.4191890 327.0812680 450.3750000 628.1011960 845.3150630 489.0187160
0.35 10.0 10 600 100 600 600 3.9464260 5.2595810 7.2421880 10.1000870 13.4998190 6.9991350
0.35 10.0 10 600 150 600 600 4.7382660 6.2530730 8.6953120 12.0573220 16.1589680 8.3673420
0.35 10.0 10 600 200 600 600 5.1666870 6.8654910 9.5156250 13.3465230 17.9136430 9.2153020
0.35 10.0 10 600 250 600 600 8.9521180 11.8891530 16.5468750 23.0765740 31.2698730 15.9867960
0.35 10.0 10 600 300 600 600 27.4396360 36.7149090 50.7187500 71.1376270 96.1297450 49.2899780
0.35 10.0 10 600 350 600 600 160.7178960 212.0988310 294.9375000 411.3252260 553.5722660 286.9649690
0.35 10.0 10 600 400 600 600 191.7784420 253.0893250 351.9375000 490.8184510 660.5563350 342.4537070
0.35 10.0 10 600 500 600 600 333.6965330 440.3781430 612.3750000 854.0293580 1149.3751220 767.8144990
0.35 1.0 10 600 100 600 600 .3240800 .4276870 .5947270 .8223050 1.1035180 .5915070
0.35 1.0 10 600 150 600 600 .3560090 .4698230 .6533200 .9059240 1.2141000 .6345320
0.35 1.0 10 600 200 600 600 .5667400 .7553200 1.0400390 1.4504570 1.9520640 1.0027260
0.35 1.0 10 600 250 600 600 .9482920 1.2576440 1.7402340 2.4408360 3.2983520 1.6847730
0.35 1.0 10 600 300 600 600 3.6399080 4.8035740 6.6796880 9.3688650 12.6603410 6.4888310
0.35 1.0 10 600 350 600 600 20.9454350 27.9149280 38.4375000 53.6056400 72.1438750 37.4150110
0.35 1.0 10 600 400 600 600 57.7276610 76.5596310 105.9375000 148.5869140 199.4326780 103.2649390
0.35 1.0 10 600 500 600 600 229.6334840 303.0465090 421.4062500 587.7008670 790.9432370 441.8694450
0.35 1.5 10 600 100 600 600 .4035820 .5357710 .7353520 1.0255350 1.3707340 .7116250
0.35 1.5 10 600 150 600 600 .4869170 .6489370 .8935550 1.2390440 1.6605410 .8600670
0.35 1.5 10 600 200 600 600 .6561930 .8714780 1.2128910 1.6818500 2.2696550 1.1671360
0.35 1.5 10 600 250 600 600 1.2267950 1.6292850 2.2675780 3.1624060 4.2560490 2.1890380
0.35 1.5 10 600 300 600 600 4.0702970 5.4056910 7.5234380 10.5523000 14.2595420 7.2847440
0.35 1.5 10 600 350 600 600 27.0898130 35.9628410 49.3593750 68.4439850 91.0892870 48.0505310
0.35 1.5 10 600 400 600 600 40.7790530 54.1579550 75.3750000 105.7202450 142.8619540 72.9317120
0.35 1.5 10 600 500 600 600 247.5648190 326.7104190 454.3125000 633.5925290 852.7054440 444.7988280
0.35 20.0 10 600 100 600 600 3.2801060 4.3544750 5.9765620 8.3350230 11.1406270 6.2498100
0.35 20.0 10 600 150 600 600 3.4355620 4.5563140 6.3046880 8.7926320 11.8333550 6.0669340
0.35 20.0 10 600 200 600 600 3.1826930 4.2268800 5.8828120 8.2042780 11.1171920 5.6811590
0.35 20.0 10 600 250 600 600 6.6667790 8.8416210 12.2343750 17.1598170 23.1884160 11.8794450
0.35 20.0 10 600 300 600 600 21.0235290 27.9906560 38.8593750 54.1939930 73.4354780 37.6647590
0.35 20.0 10 600 350 600 600 68.0471190 90.2455140 124.8750000 173.1574400 232.0619350 122.1311970
0.35 20.0 10 600 400 600 600 103.8720700 138.1637570 189.9375000 263.3760990 352.9710690 183.5997260
0.35 20.0 10 600 500 600 600 122.1588130 162.8720550 227.4375000 320.8147890 438.1348880 242.4849260
0.35 2.0 10 600 100 600 600 .5303190 .7053960 .9697270 1.3446680 1.8020950 .9371800
0.35 2.0 10 600 150 600 600 .7184030 .9574480 1.3183590 1.8280980 2.4499780 1.2751000
0.35 2.0 10 600 200 600 600 .8780480 1.1587570 1.6113280 2.2471880 3.0243240 1.5539650
0.35 2.0 10 600 250 600 600 1.4495770 1.9319170 2.6601560 3.7311090 5.0419250 2.5790970
0.35 2.0 10 600 300 600 600 5.7060240 7.6348010 10.5468750 14.7929450 19.9900130 10.2406110
0.35 2.0 10 600 350 600 600 54.1516110 72.1703030 99.3750000 138.5901950 186.5183260 95.6064360
0.35 2.0 10 600 400 600 600 98.3972170 131.6578980 181.8750000 255.0961150 344.7166440 176.7137300
0.35 2.0 10 600 500 600 600 341.8703610 455.6261290 627.3750000 874.9486080 1169.4599610 636.0620110
0.35 30.0 10 600 100 600 600 3.6143650 4.7698640 6.6328120 9.1973640 12.3261130 6.3691980
0.35 30.0 10 600 150 600 600 2.8530120 3.7984910 5.2734380 7.3544320 9.9656110 5.0843960
0.35 30.0 10 600 200 600 600 2.9246980 3.8978770 5.3671880 7.4851780 10.0737490 5.1832480
0.35 30.0 10 600 250 600 600 5.7567440 7.6454320 10.6406250 14.8396100 20.1083890 10.3137450
0.35 30.0 10 600 300 600 600 21.2136380 28.2723770 38.9296880 54.2920530 72.5669860 43.2115490
0.35 30.0 10 600 350 600 600 59.4792480 78.9611510 108.3750000 150.2777710 199.9985050 115.3640350
0.35 30.0 10 600 400 600 600 90.7624510 120.4908910 165.3750000 227.9982300 304.2353210 178.2523850
0.35 30.0 10 600 500 600 600 76.2209470 101.5831070 139.8750000 195.0722200 262.5333250 161.9454050
0.35 40.0 10 600 100 600 600 3.3333890 4.4425590 6.1171880 8.5311410 11.4814340 5.9321710
0.35 40.0 10 600 150 600 600 2.8276520 3.7553560 5.2265620 7.2890600 9.8098080 5.2520880
0.35 40.0 10 600 200 600 600 3.0779570 4.1021330 5.6484380 7.8774140 10.6016300 5.4533740
0.35 40.0 10 600 250 600 600 5.6806640 7.6008680 10.5000000 14.6434920 19.8426380 10.9546400
0.35 40.0 10 600 300 600 600 16.1943970 21.4773480 29.7187500 41.4463120 55.7795330 28.9139410
0.35 40.0 10 600 350 600 600 34.9942020 46.4100420 64.2187500 89.5606380 119.7071300 79.1314970
0.35 40.0 10 600 400 600 600 48.2563480 64.4403380 88.8750000 124.6552120 168.4491730 99.3982250
0.35 40.0 10 600 500 600 600 59.7879640 79.3709790 108.9375000 151.0577700 202.4444270 127.0683370
0.35 4.0 10 600 100 600 600 1.4728320 1.9552450 2.6835940 3.7425890 5.0023600 2.5952260
0.35 4.0 10 600 150 600 600 1.7816390 2.3512230 3.2695310 4.5336830 6.0759460 3.1433910
0.35 4.0 10 600 200 600 600 2.1775590 2.9021310 3.9960940 5.6048820 7.5228480 3.8670070
0.35 4.0 10 600 250 600 600 3.5377350 4.7335760 6.5390620 9.1716260 12.3938070 6.3292150
0.35 4.0 10 600 300 600 600 13.2379760 17.5811270 24.4687500 34.1245650 46.2404330 23.6513880
0.35 4.0 10 600 350 600 600 88.3038940 118.1527790 163.2187500 228.9290470 307.2675170 165.9840910
0.35 4.0 10 600 400 600 600 345.1442870 455.9765930 628.8750000 872.0271000 1168.6722410 611.6498340
0.35 4.0 10 600 500 600 600 523.0739140 697.1242680 959.9062500 1338.7027590 1801.6613770 970.8679790
0.35 50.0 10 600 100 600 600 1.6167070 2.1524780 2.9882810 4.1913340 5.6638360 2.9666510
0.35 50.0 10 600 150 600 600 2.6948090 3.5914940 4.9453120 6.9362470 9.3730950 4.8198660
0.35 50.0 10 600 200 600 600 3.1066130 4.1258390 5.7421880 8.0081600 10.7775920 5.5317290
0.35 50.0 10 600 250 600 600 7.7459790 10.2223420 14.2148440 19.8242800 26.6800370 13.8131640
0.35 50.0 10 600 300 600 600 19.6682740 25.9561520 36.0937500 50.3370020 67.7448580 41.8314170
0.35 50.0 10 600 350 600 600 30.3827820 40.3343930 55.3593750 76.7638630 102.8773040 54.3350330
0.35 50.0 10 600 400 600 600 40.4417720 53.6881180 73.6875000 102.1784900 136.9374540 77.8875450
0.35 50.0 10 600 500 600 600 48.2625730 64.0705490 87.9375000 121.9381940 163.4189910 102.6180930
0.35 6.0 10 600 100 600 600 2.7969820 3.6911670 5.1328120 7.1173950 9.5385820 4.9468110
0.35 6.0 10 600 150 600 600 3.3058320 4.3886280 6.0234380 8.4003950 11.2280040 5.8265380
0.35 6.0 10 600 200 600 600 4.1763150 5.5114680 7.6640620 10.6884410 14.3847850 7.3756520
0.35 6.0 10 600 250 600 600 6.0103450 7.9822360 11.1093750 15.4933370 20.9942190 10.7148670
0.35 6.0 10 600 300 600 600 19.5272830 26.1279850 36.0937500 50.6247440 68.4102630 35.0931950
0.35 6.0 10 600 350 600 600 405.4218750 535.0338130 744.0000000 1037.5959470 1396.4239500 775.1130350
0.35 6.0 10 600 400 600 600 237.6540530 313.6312260 436.1250000 608.2279050 818.5690920 468.0692490
0.35 6.0 10 600 500 600 600 451.6040040 601.8731080 828.7500000 1152.4864500 1542.4721680 824.9497370
0.35 8.0 10 600 100 600 600 3.7931670 5.0553260 6.9609380 9.6523570 12.9358840 6.7652190
0.35 8.0 10 600 150 600 600 3.9862060 5.3021880 7.2890620 10.1654600 13.5871960 7.1401190
0.35 8.0 10 600 200 600 600 5.3193970 7.0334320 9.7968750 13.6629010 18.3878900 9.4565270
0.35 8.0 10 600 250 600 600 7.8362730 10.4851260 14.4843750 20.3156450 27.4529510 14.0340760
0.35 8.0 10 600 300 600 600 25.2586670 33.5455970 46.6875000 65.1112370 88.2288740 45.5900340
0.35 8.0 10 600 350 600 600 162.8635250 217.0556030 298.8750000 416.8165280 557.1187130 309.7631620
0.35 8.0 10 600 400 600 600 362.4323730 481.1438900 660.3750000 915.7064820 1218.6760250 668.1770620
0.35 8.0 10 600 500 600 600 359.1394040 474.4658200 654.3750000 907.3865970 1216.0603030 755.1145630
