med dm twosigdown onesigdown exp onesigup twosigup observed
10 1 .1341000 .1789000 .2498000 .3523000 .4811000 .3107000
10 10 30.3131000 40.4159000 56.4375000 79.6086000 108.7210000 71.9686000
10 50 1013.7524000 1356.9644000 1901.2500000 2696.9888000 3697.0203000 2469.7584000
10 150 2000 4000 8000 16000 32000 37732.6210000
10 500 2000 4000 8000 16000 32000 580134.9234000
10 1000 2000 4000 8000 16000 32000 533682.6449000
15 10 9.0889000 12.1181000 16.9219000 23.8694000 32.3827000 21.4777000
20 1 .1341000 .1789000 .2498000 .3523000 .4779000 .3090000
50 1 .1223000 .1634000 .2285000 .3223000 .4402000 .2887000
50 10 .1207000 .1615000 .2263000 .3192000 .4360000 .2858000
50 50 34.0917000 45.6336000 63.9375000 90.6975000 123.5174000 82.2085000
95 50 1.8568000 2.4756000 3.4570000 4.9039000 6.6785000 4.4843000
100 1 .1113000 .1486000 .2087000 .2961000 .4059000 .2717000
100 10 .1318000 .1757000 .2454000 .3461000 .4727000 .3142000
200 1 .1255000 .1673000 .2336000 .3305000 .4507000 .2929000
200 50 .1164000 .1553000 .2168000 .3058000 .4176000 .2712000
200 150 18.6081000 24.8783000 35.1562000 50.1506000 68.9949000 45.5138000
295 150 .7970000 1.0712000 1.5059000 2.1361000 2.9473000 1.9390000
300 1 .1254000 .1678000 .2351000 .3335000 .4572000 .3031000
300 50 .1207000 .1615000 .2263000 .3210000 .4372000 .2847000
500 1 .1543000 .2065000 .2893000 .4127000 .5641000 .3731000
500 150 .1835000 .2457000 .3442000 .4883000 .6737000 .4430000
500 500 431.8696000 586.7969000 840.7500000 1226.1455000 1740.6564000 1173.7426000
995 500 1.8883000 2.5584000 3.6211000 5.2521000 7.3443000 4.9353000
1000 1 .1992000 .2666000 .3735000 .5329000 .7331000 .4674000
1000 150 .2039000 .2733000 .3853000 .5465000 .7540000 .4876000
1000 1000 2000 4000 8000 16000 32000 21833.0316000
1995 1000 13.7969000 18.7464000 26.8594000 39.3857000 55.7399000 37.6048000
2000 1 .6230000 .8419000 1.2129000 1.7689000 2.4961000 1.6891000
2000 500 .9068000 1.2270000 1.7520000 2.5411000 3.5751000 2.4012000
10000 1 2000 4000 8000 16000 32000 558364.3295000
10000 10 2000 4000 8000 16000 32000 571490.4491000
10000 50 2000 4000 8000 16000 32000 564018.2847000
10000 150 2000 4000 8000 16000 32000 574569.1504000
10000 500 2000 4000 8000 16000 32000 636296.2665000
10000 1000 2000 4000 8000 16000 32000 584189.8536000
