proc xmin xmax y yerr rel
vh 200.0 270.0 12.594179064 1.35047759492 0.107230299653
vh 270.0 350.0 6.6044151783 0.667070867274 0.101003775393
vh 350.0 475.0 3.24888457544 0.327700840899 0.100865645821
vh 475.0 1000.0 1.31128751091 0.139873010377 0.106668453115
dibosons 200.0 270.0 16.0035423934 3.07986000222 0.192448642088
dibosons 270.0 350.0 7.64235913754 1.47054173368 0.192419867637
dibosons 350.0 475.0 2.36357678659 0.454769014927 0.192407125297
dibosons 475.0 1000.0 0.956990671693 0.184143874913 0.192419717726
stop 200.0 270.0 20.8488708735 4.19222715077 0.201076939668
stop 270.0 350.0 6.05787992477 1.21860483723 0.201160282535
stop 350.0 475.0 0.941485981457 0.189258788557 0.201021355903
stop 475.0 1000.0 0.171188906097 0.0344151569814 0.201036140519
wjets 200.0 270.0 123.80730629 20.9651839611 0.169337211102
wjets 270.0 350.0 44.6254730225 8.20860819348 0.183944452294
wjets 350.0 475.0 8.40271357447 1.86541637249 0.222001661244
wjets 475.0 1000.0 2.62111650081 0.795493795652 0.303494253462
ttbar 200.0 270.0 199.053237438 12.8469942455 0.0645404938441
ttbar 270.0 350.0 52.1954298019 4.98434840467 0.0954939622796
ttbar 350.0 475.0 10.9974509105 1.94615521188 0.176964209954
ttbar 475.0 1000.0 0.736014716676 0.374068065658 0.508234492032
zvv 200.0 270.0 248.200473785 22.1451522086 0.0892228442229
zvv 270.0 350.0 97.1428012848 8.4545003791 0.0870316715936
zvv 350.0 475.0 32.4629284441 3.62484778581 0.111661145791
zvv 475.0 1000.0 11.2032767851 1.91467356427 0.170902995704
