proc xmin xmax y yerr rel
qcd 200.0 270.0 6.89244955778 5.42075970197 0.786477964985
qcd 270.0 350.0 23.3203721046 18.3445618432 0.786632467135
qcd 350.0 475.0 11.679045856 9.18735174056 0.786652595926
qcd 475.0 1000.0 0.426621243241 0.334403211261 0.783840975007
zll 200.0 270.0 3.36920235306 0.534646870358 0.158686482536
zll 270.0 350.0 2.31546401978 0.364245948905 0.157310131271
zll 350.0 475.0 0.436970381998 0.0850419587548 0.194617214938
zll 475.0 1000.0 0.191482755326 0.0393532611826 0.205518565448
dibosons 200.0 270.0 3.62207002938 0.730391880188 0.201650402743
dibosons 270.0 350.0 1.88671991229 0.381588184733 0.202249513691
dibosons 350.0 475.0 2.85840104334 0.564690043392 0.197554519058
dibosons 475.0 1000.0 1.36713473476 0.268469065304 0.196373523749
stop 200.0 270.0 49.6156173944 9.98576987587 0.201262634635
stop 270.0 350.0 22.2564315796 4.47954019571 0.201269470341
stop 350.0 475.0 9.54898726195 1.92184062078 0.201261198497
stop 475.0 1000.0 2.51754024066 0.505531236423 0.200803636923
wjets 200.0 270.0 180.180675983 23.4136367978 0.129945326656
wjets 270.0 350.0 94.840631485 16.7035479586 0.176122276887
wjets 350.0 475.0 39.0894599259 13.6717591962 0.349755643136
wjets 475.0 1000.0 8.79840203561 3.24089114861 0.368349972585
ttbar 200.0 270.0 827.819347382 37.3027294408 0.0450614370862
ttbar 270.0 350.0 234.571151733 17.7201657007 0.0755428174768
ttbar 350.0 475.0 55.9420287609 11.4329771873 0.204371872822
ttbar 475.0 1000.0 6.38068614062 3.8723728991 0.606889731568
