proc xmin xmax y yerr rel
vh 200.0 270.0 4.68004755676 0.445279908661 0.0951443128004
vh 270.0 350.0 3.13803851604 0.294715189983 0.0939170084994
vh 350.0 475.0 1.9905010704 0.194432437226 0.0976801470332
vh 475.0 1000.0 1.03070923942 0.105462897698 0.10232070662
qcd 200.0 270.0 7.85701803618e-08 6.15588729365e-08 0.783489011391
qcd 270.0 350.0 8.97944918421e-08 7.03529976417e-08 0.783489011391
qcd 350.0 475.0 1.40303893503e-07 1.09926558815e-07 0.783489011391
qcd 475.0 1000.0 1.122431166 0.879412349818 0.783488891304
zll 200.0 270.0 2.29935742915 0.296803845683 0.129081212829
zll 270.0 350.0 0.703133419156 0.102107912708 0.145218403686
zll 350.0 475.0 0.511926307809 0.0861710383349 0.168327036568
zll 475.0 1000.0 0.0574481231524 0.0125625305703 0.218676083411
dibosons 200.0 270.0 2.79861994088 0.542393837989 0.193807608553
dibosons 270.0 350.0 3.23807507753 0.627476910132 0.193780840502
dibosons 350.0 475.0 0.549707387108 0.106577611781 0.193880625002
dibosons 475.0 1000.0 0.482511310838 0.0935495964923 0.193880629098
stop 200.0 270.0 46.4523357153 9.33485655971 0.200955590628
stop 270.0 350.0 27.4288702011 5.51319758355 0.200999805793
stop 350.0 475.0 9.30876191705 1.87083013791 0.200975183874
stop 475.0 1000.0 2.70089779515 0.542540698066 0.200874205252
wjets 200.0 270.0 121.375032663 24.0119318111 0.197832546647
wjets 270.0 350.0 53.4111976624 13.023619103 0.243836867044
wjets 350.0 475.0 21.1929250509 6.37464215639 0.300791048951
wjets 475.0 1000.0 8.18149263505 3.85267506747 0.47090124496
ttbar 200.0 270.0 261.75173521 18.9404381339 0.0723603154672
ttbar 270.0 350.0 94.9433994293 10.1711264245 0.107128315246
ttbar 350.0 475.0 27.5584943593 5.95137393941 0.21595424851
ttbar 475.0 1000.0 6.82254515123 5.56135867924 0.815144283543
