proc xmin xmax y yerr rel
qcd 200.0 270.0 34.492572248 27.0281557991 0.783593511229
qcd 270.0 350.0 91.789522171 71.9384604356 0.783732813224
qcd 350.0 475.0 34.0066850185 26.6499678039 0.783668498984
qcd 475.0 1000.0 12.0829883963 9.47237705896 0.783943238899
zll 200.0 270.0 61.4595550299 8.55994465559 0.139277686788
zll 270.0 350.0 23.2434725761 3.63499283529 0.156387683612
zll 350.0 475.0 7.71557819098 1.47186227095 0.190764999656
zll 475.0 1000.0 1.95377395721 0.418649961967 0.214277583352
dibosons 200.0 270.0 86.3716447353 16.7376320854 0.193786191484
dibosons 270.0 350.0 43.5595989227 8.44431374544 0.193856554107
dibosons 350.0 475.0 20.7614470273 4.02319292834 0.193781913325
dibosons 475.0 1000.0 4.28196194116 0.829959801018 0.193826991557
stop 200.0 270.0 215.517699718 43.3231431619 0.201018956766
stop 270.0 350.0 101.246204376 20.3479903295 0.200975339815
stop 350.0 475.0 35.8498059213 7.2051775753 0.200982331428
stop 475.0 1000.0 9.82515388168 1.97503224073 0.201017944809
wjets 200.0 270.0 4081.40956879 203.262660084 0.0498020736851
wjets 270.0 350.0 1776.90795898 106.968645012 0.0601993167236
wjets 350.0 475.0 703.303992748 46.3339543655 0.0658804085336
wjets 475.0 1000.0 159.127760679 18.9434088557 0.119045280188
ttbar 200.0 270.0 1279.44076538 163.086487462 0.127467008926
ttbar 270.0 350.0 503.240242004 62.7614531381 0.124714694691
ttbar 350.0 475.0 132.946014404 16.6733077845 0.125414122862
ttbar 475.0 1000.0 22.100808844 2.29564059511 0.103871338434
