proc xmin xmax y yerr rel
qcd 200.0 270.0 0.505243637599 0.395476744162 0.782744629979
qcd 270.0 350.0 4.04194944181e-08 3.16381377798e-08 0.782744520566
qcd 350.0 475.0 6.31554600283e-08 4.9434590281e-08 0.782744520566
qcd 475.0 1000.0 2.65252932119e-07 2.0762527918e-07 0.782744520566
zll 200.0 270.0 0.53638342768 0.132584823944 0.247182923822
zll 270.0 350.0 0.114816622809 0.0187727015871 0.163501600447
zll 350.0 475.0 0.0342170096701 0.00706941491787 0.206605281584
zll 475.0 1000.0 0.0064279527578 0.00119777971928 0.186339222519
dibosons 200.0 270.0 0.486610685475 0.103666571179 0.213038008153
dibosons 270.0 350.0 0.629970580339 0.134911651555 0.214155479265
dibosons 350.0 475.0 1.39572658986e-07 2.98218388495e-08 0.213665334358
dibosons 475.0 1000.0 5.86205167741e-07 1.25251723168e-07 0.213665334358
stop 200.0 270.0 15.7901133597 3.19117815377 0.202099762115
stop 270.0 350.0 6.15958988667 1.23966575263 0.201257839473
stop 350.0 475.0 2.78660375625 0.561390801501 0.201460577322
stop 475.0 1000.0 0.651611003559 0.130676901888 0.200544344976
wjets 200.0 270.0 6.68063782156 10.0636371302 1.50638867111
wjets 270.0 350.0 5.25483906269 4.63940886415 0.88288314995
wjets 350.0 475.0 2.0409389399 2.15332007462 1.05506344777
wjets 475.0 1000.0 0.590062871925 0.202052061264 0.342424631133
ttbar 200.0 270.0 281.887793541 17.0050708977 0.0603256731486
ttbar 270.0 350.0 81.4578437805 7.71777980128 0.0947456922881
ttbar 350.0 475.0 19.0543029457 3.92197899282 0.205831669833
ttbar 475.0 1000.0 2.52264310839 1.57721238283 0.625222163843
