proc xmin xmax y yerr rel
qcd 200.0 270.0 17.0521269739 13.3377387468 0.782174491618
qcd 270.0 350.0 4.26835656166 3.35431051637 0.785855274252
qcd 350.0 475.0 2.93135626883e-06 2.29229134126e-06 0.781990017944
qcd 475.0 1000.0 2.13036647765 1.67664958464 0.787024017807
zll 200.0 270.0 14.6925728023 2.01816095093 0.137359261587
zll 270.0 350.0 3.96055757999 0.553108520047 0.139654204964
zll 350.0 475.0 0.94667240046 0.125706104827 0.132787334633
zll 475.0 1000.0 0.185795339348 0.0250768293167 0.134970174196
dibosons 200.0 270.0 11.5826489031 2.34862194733 0.20277071048
dibosons 270.0 350.0 5.32344818115 1.10152673325 0.206919781271
dibosons 350.0 475.0 2.86848004907 0.596014159282 0.207780479238
dibosons 475.0 1000.0 0.625350841437 0.134085247819 0.214416034862
stop 200.0 270.0 90.9973847866 18.2949739506 0.201049447668
stop 270.0 350.0 39.3041324615 7.9076633321 0.20119165179
stop 350.0 475.0 10.8376843855 2.17725850688 0.200897020935
stop 475.0 1000.0 4.03821975924 0.811836547573 0.201038228718
wjets 200.0 270.0 317.843723297 40.8853415843 0.128633471695
wjets 270.0 350.0 159.238176346 25.4689740692 0.159942638465
wjets 350.0 475.0 70.3821927309 20.0476676653 0.284840055239
wjets 475.0 1000.0 16.5372694843 6.0941150188 0.368507934433
ttbar 200.0 270.0 1397.15961456 56.039716465 0.0401097454298
ttbar 270.0 350.0 353.396987915 25.3584291067 0.0717562117784
ttbar 350.0 475.0 91.8281003833 19.5090950241 0.212452342395
ttbar 475.0 1000.0 9.1753302142 7.26689937014 0.792004124155
