proc xmin xmax y yerr rel
qcd 200.0 270.0 120.874620676 94.4198296588 0.781138580876
qcd 270.0 350.0 88.1462287903 68.8381501638 0.780954002327
qcd 350.0 475.0 25.9168595076 20.2502369293 0.781353810379
qcd 475.0 1000.0 8.92941467464 6.97728893707 0.781382564401
zll 200.0 270.0 240.098285675 33.9887610821 0.141561864911
zll 270.0 350.0 83.2840251923 13.8927174763 0.166811311584
zll 350.0 475.0 23.144364357 4.2323729044 0.182868401098
zll 475.0 1000.0 3.88958874391 0.782349668613 0.201139431473
dibosons 200.0 270.0 163.500003815 31.5637627679 0.193050532303
dibosons 270.0 350.0 75.4489469528 14.5637882301 0.19302838301
dibosons 350.0 475.0 31.2668941915 6.0330131809 0.192952109152
dibosons 475.0 1000.0 12.0073692407 2.31568141066 0.192855017967
stop 200.0 270.0 400.868287086 80.457542833 0.200708176289
stop 270.0 350.0 163.239917755 32.7649357641 0.200716443715
stop 350.0 475.0 62.161155045 12.4743660706 0.200677835885
stop 475.0 1000.0 13.2069081534 2.65010747009 0.200660702665
wjets 200.0 270.0 8016.55677795 367.000735082 0.0457803450094
wjets 270.0 350.0 3163.78112793 134.252953296 0.0424343365952
wjets 350.0 475.0 1106.68992996 55.1852516891 0.0498651430677
wjets 475.0 1000.0 244.098027796 24.7351163943 0.101332717096
ttbar 200.0 270.0 2126.02863312 279.518870691 0.131474650123
ttbar 270.0 350.0 757.984008789 96.3816621806 0.127155271171
ttbar 350.0 475.0 190.182372928 23.9523393797 0.125944055755
ttbar 475.0 1000.0 30.7868446223 3.37125989095 0.109503261289
