type x y yerrup yerrdown
pre 235.0 1.30079412361 0.25510671087 0.25510671087
post 235.0 1.06610869162 0.209081111924 0.209081111924
pre 310.0 1.23337473582 0.41112492283 0.41112492283
post 310.0 1.00070051383 0.333566846781 0.333566846781
pre 412.5 1.4174143103 0.63388696419 0.63388696419
post 412.5 1.16734526319 0.522052684012 0.522052684012
pre 737.5 2.65468704507 1.8771472316 1.8771472316
post 737.5 1.84669181852 1.30580832162 1.30580832162
unc 200.0 270.0 0.114738229234 0.114738229234
unc 270.0 350.0 0.149569368952 0.149569368952
unc 350.0 475.0 0.182044315337 0.182044315337
unc 475.0 1000.0 0.222783193096 0.222783193096
