type x y yerrup yerrdown
pre 235.0 1.09994543353 0.0468167880636 0.0468167880636
post 235.0 0.989703281258 0.0421245703214 0.0421245703214
pre 310.0 1.1843933602 0.0772613038395 0.0772613038395
post 310.0 1.01954862629 0.0665080190774 0.0665080190774
pre 412.5 0.957546577083 0.110567950415 0.110567950415
post 412.5 0.883798992453 0.102052313185 0.102052313185
pre 737.5 1.43021211098 0.280487679912 0.280487679912
post 737.5 1.06343137116 0.208556056652 0.208556056652
unc 200.0 270.0 0.03521760983 0.03521760983
unc 270.0 350.0 0.0575352990482 0.0575352990482
unc 350.0 475.0 0.0827997787593 0.0827997787593
unc 475.0 1000.0 0.148686507785 0.148686507785
