type x y yerrup yerrdown
pre 235.0 1.04543480879 0.181986840311 0.181986840311
post 235.0 0.890435845573 0.155004984216 0.155004984216
pre 310.0 1.23834206978 0.309585512832 0.309585512832
post 310.0 1.01064721521 0.252661800037 0.252661800037
pre 412.5 0.936975333474 0.468487644485 0.468487644485
post 412.5 0.782207975832 0.391103969339 0.391103969339
pre 737.5 0.834163327317 0.834163336251 0.834163336251
post 737.5 0.590548100396 0.590548106721 0.590548106721
unc 200.0 270.0 0.100027997634 0.100027997634
unc 270.0 350.0 0.124581475274 0.124581475274
unc 350.0 475.0 0.145622913156 0.145622913156
unc 475.0 1000.0 0.197288464248 0.197288464248
