type x y yerrup yerrdown
pre 235.0 1.14674683647 0.0460916457678 0.0460916457678
post 235.0 0.997570411849 0.0400957391718 0.0400957391718
pre 310.0 1.14758887711 0.0784475620388 0.0784475620388
post 310.0 0.998747622361 0.0682729831465 0.0682729831465
pre 412.5 1.1573558049 0.150674890944 0.150674890944
post 412.5 1.00997927136 0.131488100655 0.131488100655
pre 737.5 1.62450801049 0.354496718645 0.354496718645
post 737.5 1.23530314542 0.269565252221 0.269565252221
unc 200.0 270.0 0.0322853203214 0.0322853203214
unc 270.0 350.0 0.0375662075462 0.0375662075462
unc 350.0 475.0 0.0624252324841 0.0624252324841
unc 475.0 1000.0 0.108680056346 0.108680056346
