type x y yerrup yerrdown
pre 235.0 1.03145021267 0.0777484823837 0.0777484823837
post 235.0 1.05006992547 0.0791519959948 0.0791519959948
pre 310.0 0.771930759627 0.109167494948 0.109167494948
post 310.0 0.900359688447 0.127330088242 0.127330088242
pre 412.5 0.80200569556 0.207076984793 0.207076984793
post 412.5 0.915643705639 0.236418193484 0.236418193484
pre 737.5 1.3396786798 0.59912249633 0.59912249633
post 737.5 1.33658754254 0.597740097777 0.597740097777
unc 200.0 270.0 0.0531732384509 0.0531732384509
unc 270.0 350.0 0.0766275481262 0.0766275481262
unc 350.0 475.0 0.158309672369 0.158309672369
unc 475.0 1000.0 0.43096452649 0.43096452649
