type x y yerrup yerrdown
pre 235.0 0.989041720791 0.0302783640782 0.0302783640782
post 235.0 0.995800866667 0.0304852874824 0.0304852874824
pre 310.0 0.999935045939 0.050829553975 0.050829553975
post 310.0 1.02059453588 0.0518797348474 0.0518797348474
pre 412.5 0.994563720274 0.0907908327744 0.0907908327744
post 412.5 1.003723019 0.0916269585472 0.0916269585472
pre 737.5 0.622244509708 0.155561129093 0.155561129093
post 737.5 0.812930953103 0.203232740452 0.203232740452
unc 200.0 270.0 0.0267832554582 0.0267832554582
unc 270.0 350.0 0.0517600537077 0.0517600537077
unc 350.0 475.0 0.105990917384 0.105990917384
unc 475.0 1000.0 0.202180054346 0.202180054346
