type x y yerrup yerrdown
pre 235.0 1.1163854485 0.052394563982 0.052394563982
post 235.0 1.03332799507 0.048496484637 0.048496484637
pre 310.0 0.974961281028 0.0728720291044 0.0728720291044
post 310.0 0.97887647289 0.07316466429 0.07316466429
pre 412.5 0.989187563801 0.127703568217 0.127703568217
post 412.5 0.98179876722 0.126749678659 0.126749678659
pre 737.5 0.994430590484 0.217002550292 0.217002550292
post 737.5 1.02951092225 0.224657706449 0.224657706449
unc 200.0 270.0 0.0382645864789 0.0382645864789
unc 270.0 350.0 0.0573436021304 0.0573436021304
unc 350.0 475.0 0.0903964916791 0.0903964916791
unc 475.0 1000.0 0.243434735971 0.243434735971
