type x y yerrup yerrdown
pre 235.0 1.11141921974 0.0146429624619 0.0146429624619
post 235.0 1.00040081967 0.0131802936184 0.0131802936184
pre 310.0 1.10236631011 0.0218773438184 0.0218773438184
post 310.0 0.999611379486 0.019838089783 0.019838089783
pre 412.5 1.13845810735 0.037231561213 0.037231561213
post 412.5 1.00044560773 0.0327180698561 0.0327180698561
pre 737.5 1.05655399381 0.0730833657283 0.0730833657283
post 737.5 0.998221147983 0.0690483985323 0.0690483985323
unc 200.0 270.0 0.0150045199835 0.0150045199835
unc 270.0 350.0 0.0239426115547 0.0239426115547
unc 350.0 475.0 0.0368622654229 0.0368622654229
unc 475.0 1000.0 0.0869693560047 0.0869693560047
