type x y yerrup yerrdown
pre 235.0 0.935656962055 0.0538410074782 0.0538410074782
post 235.0 0.985560127556 0.05671261194 0.05671261194
pre 310.0 0.893638467568 0.0916853722316 0.0916853722316
post 310.0 1.01132393604 0.103759646533 0.103759646533
pre 412.5 0.905384321638 0.181076861629 0.181076861629
post 412.5 1.03813433076 0.207626863058 0.207626863058
pre 737.5 0.532775408408 0.307598028756 0.307598028756
post 737.5 0.779764212754 0.45019708296 0.45019708296
unc 200.0 270.0 0.0472775514076 0.0472775514076
unc 270.0 350.0 0.0653765704381 0.0653765704381
unc 350.0 475.0 0.147074431209 0.147074431209
unc 475.0 1000.0 0.400781765977 0.400781765977
