type x y yerrup yerrdown
pre 235.0 0.986371445597 0.0229699489217 0.0229699489217
post 235.0 0.997118939583 0.0232202292689 0.0232202292689
pre 310.0 0.955730888038 0.0401369240639 0.0401369240639
post 310.0 1.00266735942 0.0421080705562 0.0421080705562
pre 412.5 1.07815498676 0.0799181663414 0.0799181663414
post 412.5 1.02904428008 0.0762778384912 0.0762778384912
pre 737.5 0.918079617713 0.159817145992 0.159817145992
post 737.5 1.00941099108 0.1757158972 0.1757158972
unc 200.0 270.0 0.0236848851028 0.0236848851028
unc 270.0 350.0 0.0362081737091 0.0362081737091
unc 350.0 475.0 0.0806636445898 0.0806636445898
unc 475.0 1000.0 0.206947110156 0.206947110156
