type x y yerrup yerrdown
pre 235.0 1.09454602504 0.0104049191697 0.0104049191697
post 235.0 0.999825904167 0.00950449545163 0.00950449545163
pre 310.0 1.09162790372 0.0165874845134 0.0165874845134
post 310.0 0.99979591 0.0151920806689 0.0151920806689
pre 412.5 1.09517070752 0.0288703081303 0.0288703081303
post 412.5 0.999748804066 0.0263548466263 0.0263548466263
pre 737.5 1.0658114956 0.0602432299471 0.0602432299471
post 737.5 1.0002615052 0.0565381252819 0.0565381252819
unc 200.0 270.0 0.0121945966822 0.0121945966822
unc 270.0 350.0 0.0178446982664 0.0178446982664
unc 350.0 475.0 0.0317601953251 0.0317601953251
unc 475.0 1000.0 0.0735589698032 0.0735589698032
